127.0.0.1 - - [24/Oct/2015:23:38:27 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/Oct/2015:23:38:38 -0300] "GET /springprimafaceswebapp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Oct/2015:23:38:39 -0300] "GET /springprimafaceswebapp/ HTTP/1.1" 200 1746
0:0:0:0:0:0:0:1 - - [24/Oct/2015:23:38:39 -0300] "GET /springprimafaceswebapp/javax.faces.resource/jquery/jquery.js.faces;jsessionid=20D8D693CEDFAAFD091BF80A05CE5751?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [24/Oct/2015:23:38:39 -0300] "GET /springprimafaceswebapp/javax.faces.resource/jquery/jquery-plugins.js.faces;jsessionid=20D8D693CEDFAAFD091BF80A05CE5751?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [24/Oct/2015:23:38:39 -0300] "GET /springprimafaceswebapp/javax.faces.resource/primefaces.js.faces;jsessionid=20D8D693CEDFAAFD091BF80A05CE5751?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [24/Oct/2015:23:38:39 -0300] "GET /springprimafaceswebapp/javax.faces.resource/primefaces.css.faces;jsessionid=20D8D693CEDFAAFD091BF80A05CE5751?ln=primefaces&v=5.3 HTTP/1.1" 200 70963
0:0:0:0:0:0:0:1 - - [24/Oct/2015:23:38:39 -0300] "GET /springprimafaceswebapp/javax.faces.resource/theme.css.faces?ln=primefaces-aristo HTTP/1.1" 200 29394
0:0:0:0:0:0:0:1 - - [24/Oct/2015:23:38:40 -0300] "GET /springprimafaceswebapp/javax.faces.resource/images/ui-icons_38667f_256x240.png.faces?ln=primefaces-aristo HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [24/Oct/2015:22:55:41 -0300] "GET /springprimafaceswebapp/ HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [24/Oct/2015:22:55:42 -0300] "GET /springprimafaceswebapp/javax.faces.resource/jquery/jquery.js.faces?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [24/Oct/2015:22:55:42 -0300] "GET /springprimafaceswebapp/javax.faces.resource/primefaces.js.faces?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [24/Oct/2015:22:55:42 -0300] "GET /springprimafaceswebapp/javax.faces.resource/jquery/jquery-plugins.js.faces?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [24/Oct/2015:22:55:42 -0300] "GET /springprimafaceswebapp/javax.faces.resource/primefaces.css.faces?ln=primefaces&v=5.3 HTTP/1.1" 200 70963
